Sample,Accession
Luciferase mRNA L18 with moU,SRX7028858
Luciferase mRNA L19 with moU,SRX7028859
Luciferase mRNA L19 with moU,SRX7028860
Luciferase mRNA L19 with moU,SRX7028861
Luciferase mRNA L1 with moU,SRX7028862
Luciferase mRNA L1 with moU,SRX7028863
Luciferase mRNA L1 with moU,SRX7028864
Luciferase mRNA L20 with moU,SRX7028865
Luciferase mRNA L20 with moU,SRX7028866
Luciferase mRNA L20 with moU,SRX7028867
Luciferase mRNA L21 with moU,SRX7028868
Luciferase mRNA L21 with moU,SRX7028869
Luciferase mRNA L21 with moU,SRX7028870
Luciferase mRNA L22 with moU,SRX7028871
Luciferase mRNA L22 with moU,SRX7028872
Luciferase mRNA L22 with moU,SRX7028873
Luciferase mRNA L22 with moU,SRX7028874
Luciferase mRNA L22 with moU,SRX7028875
Luciferase mRNA L22 with moU,SRX7028876
Luciferase mRNA L23 with moU,SRX7028877
Luciferase mRNA L23 with moU,SRX7028878
Luciferase mRNA L23 with moU,SRX7028879
Luciferase mRNA L24 with moU,SRX7028880
Luciferase mRNA L24 with moU,SRX7028881
Luciferase mRNA L24 with moU,SRX7028882
Luciferase mRNA L25 with moU,SRX7028883
Luciferase mRNA L25 with moU,SRX7028884
Luciferase mRNA L25 with moU,SRX7028885
Luciferase mRNA L26 with moU,SRX7028886
Luciferase mRNA L26 with moU,SRX7028887
Luciferase mRNA L26 with moU,SRX7028888
Luciferase mRNA L27 with moU,SRX7028889
Luciferase mRNA L27 with moU,SRX7028890
Luciferase mRNA L27 with moU,SRX7028891
Luciferase mRNA L28 with moU,SRX7028892
Luciferase mRNA L28 with moU,SRX7028893
Luciferase mRNA L28 with moU,SRX7028894
Luciferase mRNA L29 with moU,SRX7028895
Luciferase mRNA L29 with moU,SRX7028896
Luciferase mRNA L29 with moU,SRX7028897
Luciferase mRNA L2 with moU,SRX7028898
Luciferase mRNA L2 with moU,SRX7028899
Luciferase mRNA L2 with moU,SRX7028900
Luciferase mRNA L30 with moU,SRX7028901
Luciferase mRNA L30 with moU,SRX7028902
Luciferase mRNA L30 with moU,SRX7028903
Luciferase mRNA L31 with moU,SRX7028904
Luciferase mRNA L31 with moU,SRX7028905
Luciferase mRNA L31 with moU,SRX7028906
Luciferase mRNA L32 with moU,SRX7028939
Luciferase mRNA L32 with moU,SRX7028940
Luciferase mRNA L32 with moU,SRX7028941
Luciferase mRNA L33 with moU,SRX7028942
Luciferase mRNA L33 with moU,SRX7028943
Luciferase mRNA L33 with moU,SRX7028944
Luciferase mRNA L34 with moU,SRX7028945
Luciferase mRNA L34 with moU,SRX7028946
Luciferase mRNA L34 with moU,SRX7028947
Luciferase mRNA L35 with moU,SRX7028948
Luciferase mRNA L35 with moU,SRX7028949
Luciferase mRNA L35 with moU,SRX7028950
Luciferase mRNA L36 with moU,SRX7028951
Luciferase mRNA L36 with moU,SRX7028952
Luciferase mRNA L36 with moU,SRX7028953
Luciferase mRNA L37 with moU,SRX7028954
Luciferase mRNA L37 with moU,SRX7028955
Luciferase mRNA L37 with moU,SRX7028956
Luciferase mRNA L38 with moU,SRX7028957
Luciferase mRNA L38 with moU,SRX7028958
Luciferase mRNA L38 with moU,SRX7028959
Luciferase mRNA L39 with moU,SRX7028960
Luciferase mRNA L39 with moU,SRX7028961
Luciferase mRNA L39 with moU,SRX7028962
Luciferase mRNA L3 with moU,SRX7028963
Luciferase mRNA L3 with moU,SRX7028964
Luciferase mRNA L3 with moU,SRX7028965
Luciferase mRNA L4 with moU,SRX7028966
Luciferase mRNA L4 with moU,SRX7028967
Luciferase mRNA L4 with moU,SRX7028968
Luciferase mRNA L5 with moU,SRX7028969
Luciferase mRNA L5 with moU,SRX7028970
Luciferase mRNA L5 with moU,SRX7028971
Luciferase mRNA L6 with moU,SRX7028972
Luciferase mRNA L6 with moU,SRX7028973
Luciferase mRNA L6 with moU,SRX7028974
Luciferase mRNA L7 with moU,SRX7028975
Luciferase mRNA L7 with moU,SRX7028976
Luciferase mRNA L7 with moU,SRX7028977
Luciferase mRNA L8 with moU,SRX7028978
Luciferase mRNA L8 with moU,SRX7028979
Luciferase mRNA L8 with moU,SRX7028980
Luciferase mRNA L9 with moU,SRX7028981
Luciferase mRNA L9 with moU,SRX7028982
Luciferase mRNA L9 with moU,SRX7028983
Luciferase mRNA L10 with pmU,SRX7028984
Luciferase mRNA L10 with pmU,SRX7028985
Luciferase mRNA L10 with pmU,SRX7028986
Luciferase mRNA L11 with pmU,SRX7028987
Luciferase mRNA L11 with pmU,SRX7028988
Luciferase mRNA L11 with pmU,SRX7028989
Luciferase mRNA L12 with pmU,SRX7028990
Luciferase mRNA L12 with pmU,SRX7028991
Luciferase mRNA L12 with pmU,SRX7028992
Luciferase mRNA L13 with pmU,SRX7028993
Luciferase mRNA L13 with pmU,SRX7028994
Luciferase mRNA L13 with pmU,SRX7028995
Luciferase mRNA L14 with pmU,SRX7028996
Luciferase mRNA L14 with pmU,SRX7028997
Luciferase mRNA L14 with pmU,SRX7028998
Luciferase mRNA L15 with pmU,SRX7028999
Luciferase mRNA L15 with pmU,SRX7029000
Luciferase mRNA L15 with pmU,SRX7029001
Luciferase mRNA L15 with pmU,SRX7029002
Luciferase mRNA L15 with pmU,SRX7029003
Luciferase mRNA L15 with pmU,SRX7029004
Luciferase mRNA L16 with pmU,SRX7029005
Luciferase mRNA L16 with pmU,SRX7029006
Luciferase mRNA L16 with pmU,SRX7029007
Luciferase mRNA L17 with pmU,SRX7029008
Luciferase mRNA L17 with pmU,SRX7029009
Luciferase mRNA L17 with pmU,SRX7029010
Luciferase mRNA L18 with pmU,SRX7029011
Luciferase mRNA L18 with pmU,SRX7029012
Luciferase mRNA L18 with pmU,SRX7029013
Luciferase mRNA L19 with pmU,SRX7029014
Luciferase mRNA L19 with pmU,SRX7029015
Luciferase mRNA L19 with pmU,SRX7029016
Luciferase mRNA L1 with pmU,SRX7029017
Luciferase mRNA L1 with pmU,SRX7029018
Luciferase mRNA L1 with pmU,SRX7029019
Luciferase mRNA L20 with pmU,SRX7029020
Luciferase mRNA L20 with pmU,SRX7029021
Luciferase mRNA L20 with pmU,SRX7029022
Luciferase mRNA L21 with pmU,SRX7029023
Luciferase mRNA L21 with pmU,SRX7029024
Luciferase mRNA L21 with pmU,SRX7029025
Luciferase mRNA L22 with pmU,SRX7029026
Luciferase mRNA L22 with pmU,SRX7029027
Luciferase mRNA L22 with pmU,SRX7029028
Luciferase mRNA L23 with pmU,SRX7029029
Luciferase mRNA L23 with pmU,SRX7029030
Luciferase mRNA L23 with pmU,SRX7029031
Luciferase mRNA L24 with pmU,SRX7029032
Luciferase mRNA L24 with pmU,SRX7029033
Luciferase mRNA L24 with pmU,SRX7029034
Luciferase mRNA L24 with pmU,SRX7028907
Luciferase mRNA L24 with pmU,SRX7028908
Luciferase mRNA L24 with pmU,SRX7028909
Luciferase mRNA L25 with pmU,SRX7028910
Luciferase mRNA L25 with pmU,SRX7028911
Luciferase mRNA L25 with pmU,SRX7028912
Luciferase mRNA L26 with pmU,SRX7028913
Luciferase mRNA L26 with pmU,SRX7028914
Luciferase mRNA L26 with pmU,SRX7028915
Luciferase mRNA L26 with pmU,SRX7028916
Luciferase mRNA L26 with pmU,SRX7028917
Luciferase mRNA L26 with pmU,SRX7028918
Luciferase mRNA L27 with pmU,SRX7028919
Luciferase mRNA L27 with pmU,SRX7028920
Luciferase mRNA L27 with pmU,SRX7028921
Luciferase mRNA L28 with pmU,SRX7028922
Luciferase mRNA L28 with pmU,SRX7028923
Luciferase mRNA L28 with pmU,SRX7028924
Luciferase mRNA L29 with pmU,SRX7028925
Luciferase mRNA L29 with pmU,SRX7028926
Luciferase mRNA L29 with pmU,SRX7028927
Luciferase mRNA L2 with pmU,SRX7028928
Luciferase mRNA L2 with pmU,SRX7028929
Luciferase mRNA L2 with pmU,SRX7028930
Luciferase mRNA L30 with pmU,SRX7028931
Luciferase mRNA L30 with pmU,SRX7028932
Luciferase mRNA L30 with pmU,SRX7028933
Luciferase mRNA L31 with pmU,SRX7028934
Luciferase mRNA L31 with pmU,SRX7028935
Luciferase mRNA L31 with pmU,SRX7028936
Luciferase mRNA L32 with pmU,SRX7028937
Luciferase mRNA L32 with pmU,SRX7028938
Luciferase mRNA L32 with pmU,SRX7028733
Luciferase mRNA L32 with pmU,SRX7028734
Luciferase mRNA L32 with pmU,SRX7028735
Luciferase mRNA L32 with pmU,SRX7028736
Luciferase mRNA L33 with pmU,SRX7028737
Luciferase mRNA L33 with pmU,SRX7028738
Luciferase mRNA L33 with pmU,SRX7028739
Luciferase mRNA L34 with pmU,SRX7028740
Luciferase mRNA L34 with pmU,SRX7028741
Luciferase mRNA L34 with pmU,SRX7028742
Luciferase mRNA L35 with pmU,SRX7028743
Luciferase mRNA L35 with pmU,SRX7028744
Luciferase mRNA L35 with pmU,SRX7028745
Luciferase mRNA L36 with pmU,SRX7028746
Luciferase mRNA L36 with pmU,SRX7028747
Luciferase mRNA L36 with pmU,SRX7028748
Luciferase mRNA L37 with pmU,SRX7028749
Luciferase mRNA L37 with pmU,SRX7028750
Luciferase mRNA L37 with pmU,SRX7028751
Luciferase mRNA L38 with pmU,SRX7028752
Luciferase mRNA L38 with pmU,SRX7028753
Luciferase mRNA L38 with pmU,SRX7028754
Luciferase mRNA L39 with pmU,SRX7028755
Luciferase mRNA L39 with pmU,SRX7028756
Luciferase mRNA L39 with pmU,SRX7028757
Luciferase mRNA L3 with pmU,SRX7028758
Luciferase mRNA L3 with pmU,SRX7028759
Luciferase mRNA L3 with pmU,SRX7028760
Luciferase mRNA L4 with pmU,SRX7028761
Luciferase mRNA L4 with pmU,SRX7028762
Luciferase mRNA L4 with pmU,SRX7028763
Luciferase mRNA L5 with pmU,SRX7028764
Luciferase mRNA L5 with pmU,SRX7028797
Luciferase mRNA L5 with pmU,SRX7028798
Luciferase mRNA L6 with pmU,SRX7028799
Luciferase mRNA L6 with pmU,SRX7028800
Luciferase mRNA L6 with pmU,SRX7028801
Luciferase mRNA L7 with pmU,SRX7028802
Luciferase mRNA L7 with pmU,SRX7028803
Luciferase mRNA L7 with pmU,SRX7028804
Luciferase mRNA L8 with pmU,SRX7028805
Luciferase mRNA L8 with pmU,SRX7028806
Luciferase mRNA L8 with pmU,SRX7028807
Luciferase mRNA L9 with pmU,SRX7028808
Luciferase mRNA L9 with pmU,SRX7028809
Luciferase mRNA L9 with pmU,SRX7028810
